marketid	upstreamid	downstreamid	cites_cites	kn_similarity	_sq*(kn_similarity)	cites_size	cites_experience	cites_rankcmd	domain_similarity	match
21	2	7	0.83737099	0.16690598	0.027857607	0	1	0	0.28898266	0
21	2	8	0.66624373	0.068813406	0.004735285	0.81649661	0	0.13333334	0.6760689	0
21	2	9	1	0.029244984	0.00085526909	1	0	0.40000001	0.22375914	0
21	2	10	0.44735327	0.27680111	0.076618858	0.57735026	0	0.2	0.4502508	0
21	3	1	0	0	0	0	0	0	0	0
21	3	2	0.41322881	0.0092435852	0.000085443869	0	0.14711112	0	0.75750667	0
21	3	3	0.41202563	0.15370888	0.023626419	0.43241659	0.044133335	0	0.72906578	0
21	3	4	0.42010573	0.0023103617	5.3377712*^-6	0	0.25008887	0	0.13934727	0
21	3	5	0.28981093	0.00027088809	7.338035600000001*^-8	0	0.029422222	0	0.11883839	0
21	3	6	0.46531498	0.083297551	0.0069384822	0.30576468	0.014711111	0.42368001	0.25424039	0
21	3	7	0.44347167	0.087714985	0.0076939184	0	0.42662221	0	0.28891504	0
21	3	8	0.35284266	0	0	0.43241659	0	0.070613332	0.11883839	0
21	3	9	0.52959996	0.096219882	0.0092582656	0.52959996	0	0.21184	0.19486377	0
21	3	10	0.23691829	0.092751741	0.0086028855	0.30576468	0	0.10592	0.27424243	1
21	4	1	0	1	1	0	0	0	0	1
21	4	2	0	0	0	0	0	0	0.072786026	0
21	4	3	0	0.14642115	0.021439154	0	0	0	0.24728785	0
21	4	4	0	0.12642343	0.015982885	0	0	0	0.29641703	0
21	4	5	0	0	0	0	0	0	0.24140394	0
21	4	6	0	0.15110657	0.022833195	0	0	0	0.41355431	0
21	4	7	0	0.0017750091	3.1506572*^-6	0	0	0	0.67718232	0
21	4	8	0	0.13494778	0.018210903	0	0	0	0.24140394	0
21	4	9	0	0.078937978	0.0062312041	0	0	0	0.17163627	0
21	4	10	0	0.087360062	0.0076317806	0	0	0	0.30175492	0
21	5	1	0	0	0	0	0	0	0	0
21	5	2	0.57754982	0.099768728	0.0099537987	0	0.20561005	0	0.20447192	0
21	5	3	0.57586819	0.010517158	0.00011061061	0.60436767	0.061683014	0	0.079999827	0
21	5	4	0.58716136	0.0017648535	3.1147079*^-6	0	0.34953707	0	0.31639969	0
21	5	5	0.40505466	0.0037476101	0.000014044582	0	0.041122008	0	0.27924097	0
21	5	6	0.65034813	0.034856878	0.0012150019	0.42735246	0.020561004	0.59215695	0.098113887	0
21	5	7	0.61981881	0.44631749	0.1991993	0	0.59626913	0	0.92320108	1
21	5	8	0.49315104	0	0	0.60436767	0	0.098692827	0.27924097	0
21	5	9	0.74019617	0.047181584	0.0022261019	0.74019617	0	0.29607847	0.042830911	0
21	5	10	0.33112916	0	0	0.42735246	0	0.14803924	0.14959337	0
21	6	1	0	0	0	0	0	0	0	0
21	6	2	0.67388839	0.17557494	0.030826561	0	0.26389763	0	0.27746639	0
21	6	3	0.6719262	0	0	0.70517957	0.071972087	0	0.053450625	0
21	6	4	0.68510318	0	0	0	0.5757767	0	0.83950317	0
21	6	5	0.47262004	0.47789791	0.22838642	0	0.095962778	0	0.99005049	1
21	6	6	0.75882983	0.2759133	0.076128148	0.49863723	0.023990694	0.69093204	0.14030293	0
21	6	7	0.72320801	0.084631905	0.0071625593	0	0.86366504	0	0.30581683	0
