marketid	upstreamid	downstreamid	cites_cites	kn_similarity	kn_similarity_sq	cites_size	cites_experience	cites_rankcmd	domain_similarity	match	removeup	removedown
17	19	8	.17241237	.19068685	.036361475	0	.019043762	0	.73837364	0	0	0
17	19	9	.2483853	.40707931	.16571356	0	.054410752	0	.74033219	0	0	0
17	19	10	.56859237	.66351163	.44024768	.32827693	.10338043	.15162462	.77425611	0	0	1
17	19	11	.25812891	.045856386	.0021028081	.32827693	.0054410752	.075812317	.12863769	0	0	0
17	19	12	.44029343	.083457097	.0069650873	0	.39447793	0	.41440395	0	0	1
17	19	13	.43727103	.20731011	.042977482	.32827693	.12242419	.15162462	.77476037	0	0	0
17	19	14	.40972501	.39236197	.15394792	.32827693	.03536699	0	.65362728	0	0	1
17	19	15	.28613544	.10943386	.01197577	0	.081616126	0	.32586396	0	0	0
17	19	16	.34131169	.022036923	.00048562599	0	.095218822	0	.50370139	0	0	0
17	19	17	.30818027	.22794063	.051956933	0	.11698312	0	.37985063	0	0	0
17	19	18	.10222615	.27819082	.077390134	0	.01088215	0	.74762493	0	0	0
17	19	19	.021540981	.36370882	.1322841	.32827693	0	.15162463	0	0	0	0
17	19	20	.21677034	.076686695	.0058808494	0	.021764301	0	.75579864	0	0	0
17	19	21	.30521095	.076669537	.005878218	0	.25301	0	.40293378	0	0	0
17	19	22	.39413729	.24569756	.06036729	.32827693	.0027205376	.07581231	.52057666	0	0	0
17	19	23	.20277268	.19068685	.036361475	0	.029925914	0	.73837364	0	0	0
17	20	1	.36266261	.069984958	.0048978943	0	.40117481	0	.38387305	0	0	1
17	20	2	.4334012	.30223837	.091348037	.45290029	.17803615	.23814116	.41685808	0	0	1
17	20	3	.090573333	.00110898	1.2298367e-06	.20254317	0	0	.22830872	0	0	0
17	20	4	.24870774	.0085151959	.000072508563	.20254317	.0023738153	.29767644	.13837342	0	0	0
17	20	5	.27560079	.091263354	.0083289994	.20254317	.0023738153	.099225491	.74927694	0	0	0
17	20	6	2.9014501e-17	.015464678	.00023915627	0	0	0	0	0	0	0
17	20	7	.47963712	.12594453	.015862023	.4961274	.0094952611	.21168102	.27454612	0	0	0
17	20	8	.15043905	.20907962	.043714289	0	.016616708	0	.72132218	0	0	0
17	20	9	.21672954	.20308685	.041244268	0	.047476307	0	.75219858	0	0	0
17	20	10	.4961274	.31154576	.097060762	.28643927	.090204984	.13230063	.77385151	0	0	1
17	20	11	.22523135	.12590097	.015851054	.28643927	.0047476306	.066150323	.12128434	0	0	0
17	20	12	.38417968	.21820964	.047615446	0	.3442032	0	.39787155	0	0	1
17	20	13	.3815425	.40015668	.16012536	.28643927	.10682169	.13230063	.97833228	1	0	0
17	20	14	.35750711	.19585247	.038358193	.28643927	.030859599	0	.80700618	0	0	1
17	20	15	.24966855	.2118853	.044895381	0	.07121446	0	.3052637	0	0	0
17	20	16	.29781279	.0042700302	.000018233157	0	.08308354	0	.75116462	0	0	0
17	20	17	.26890388	.075856112	.0057541495	0	.10207406	0	.36084205	0	0	0
17	20	18	.089197807	.17813218	.031731073	0	.0094952611	0	.73481882	0	0	0
17	20	19	.018795665	.34952605	.12216846	.28643927	0	.13230065	0	0	0	0
17	20	20	.18914378	.30039835	.090239167	0	.018990522	0	.75143063	0	0	0
17	20	21	.26631296	.017199937	.00029583785	0	.22076483	0	.38620144	0	0	0
17	20	22	.34390599	.19737306	.038956124	.28643927	.0023738153	.066150315	.7884407	0	0	0
17	20	23	.17693006	.20907962	.043714289	0	.026111968	0	.72132218	0	0	0
17	21	1	.25716144	.021603145	.00046669587	0	.28447014	0	.72466624	0	0	1
17	21	2	.30732164	.16480808	.027161703	.32114831	.12624414	.16886418	.24961378	0	0	1
17	21	3	.064224899	0	0	.14362189	0	0	.70183325	0	0	0
17	21	4	.17635685	.00018533874	3.4350446e-08	.14362189	.0016832552	.21108021	.19518316	0	0	0
17	21	5	.19542651	.0076460559	.00005846217	.14362189	.0016832552	.070360072	.35167047	0	0	0
17	21	6	2.0573974e-17	.050413769	.0025415481	0	0	0	0	0	0	0
17	21	7	.3401072	.056492634	.0031914178	.35180035	.0067330208	.15010148	.16992177	0	0	0
17	21	8	.10667524	.012832642	.00016467669	0	.011782786	0	.71803844	0	0	0
17	21	9	.15368134	.0045571229	.000020767369	0	.033665106	0	.26667395	0	0	0
17	21	10	.35180035	.032372907	.0010480051	.20311202	.063963704	.093813419	.37043893	0	0	1
17	21	11	.15970992	.000079590609	6.3346652e-09	.20311202	.0033665104	.046906713	.15291701	0	0	0
17	21	12	.27241904	.034604572	.0011974764	0	.24407201	0	.74158341	0	0	1
17	21	13	.270549	.18720706	.035046484	.20311202	.075746484	.093813419	.38023198	0	0	0
17	21	14	.25350571	.012757531	.0001627546	.20311202	.021882318	0	.6519413	0	0	1
17	21	15	.17703816	.01876452	.00035210722	0	.050497655	0	.75737292	0	0	0
17	21	16	.2111769	.019268245	.00037126525	0	.058913935	0	.77296197	0	0	0
17	21	17	.19067778	.0026158132	6.8424783e-06	0	.072379977	0	.71696377	0	0	0
17	21	18	.063249521	.003139673	9.8575465e-06	0	.0067330208	0	.4163765	0	0	0
17	21	19	.01332787	.33333334	.11111112	.20311202	0	.093813427	0	0	0	0
17	21	20	.13412048	.6658408	.44334397	0	.013466042	0	.82911938	1	0	0
17	21	21	.1888406	.0057018017	.000032510543	0	.15654275	0	.73430943	0	0	0
17	21	22	.24386124	.056847554	.0032316444	.20311202	.0016832552	.04690671	.4841302	0	0	0
17	21	23	.12545982	.012832642	.00016467669	0	.018515809	0	.71803844	0	0	0
18	1	1	.1532775	0	0	.23833309	0	0	1	0	0	0
18	1	2	.22356404	.011327149	.00012830431	.23833309	.0084263477	.26964313	.2298097	0	0	1
18	1	3	0	0	0	0	0	0	0	0	0	0
18	1	4	.31620231	.029742142	.00088459504	.33705389	.025279043	.08988104	.21107154	0	0	0
18	1	5	.1969939	.018386198	.00033805228	0	0	0	0	0	0	0
18	1	6	.30929443	.0016020919	2.5666986e-06	.33705389	.033705391	.13482156	.050810244	0	0	0
18	1	7	.2313586	.18550344	.034411527	.33705389	.025279043	.08988104	0	0	0	0
18	1	8	.29529741	0	0	0	.22751138	0	.76063883	0	0	0
18	1	9	.33705389	.094215289	.0088765202	.33705389	.0084263477	.17976208	.24668849	0	0	0
18	1	10	.10639522	.56366259	.31771553	0	.0084263477	0	1	0	0	0
18	1	11	.26569912	.18203761	.03313769	.33705389	.0084263477	.08988104	0	0	0	0
18	1	12	.056210812	.5	.25	.23833309	0	.067410782	0	0	0	0
18	1	13	.32856414	.030878847	.00095350324	.33705389	.025279043	.17976208	.38585874	0	0	0
18	1	14	.14186029	.86078203	.7409457	0	.016852695	0	1	1	0	0
18	1	15	0	0	0	0	0	0	0	0	0	0
18	1	16	.24321879	0	0	.33705389	.0084263477	0	.36987314	0	0	1
18	2	1	.17669454	.0015761268	2.4841756e-06	.27474454	0	0	.78992212	0	0	0
18	2	2	.25771913	.11627259	.013519315	.27474454	.0097136861	.31083795	.24204235	0	0	1
18	2	3	0	1	1	0	0	0	0	1	0	0
18	2	4	.36451027	.0030680525	9.4129464e-06	.38854745	.029141059	.10361266	.18209787	0	0	0
18	2	5	.22708973	.21634124	.046803534	0	0	0	0	0	0	0
18	2	6	.35654703	.023777543	.00056537153	.38854745	.038854744	.15541898	.25603372	0	0	0
18	2	7	.26670453	.0021334242	4.5514985e-06	.38854745	.029141059	.10361266	.10440113	0	0	0
18	2	8	.34041163	.0044598482	.000019890245	0	.26226953	0	.95133853	0	0	0
18	2	9	.38854745	.026294716	.00069141207	.38854745	.0097136861	.20722532	.65783852	0	0	0
18	2	10	.1226498	0	0	0	.0097136861	0	.78992212	0	0	0
18	2	11	.30629143	.005247972	.000027541209	.38854745	.0097136861	.10361266	.041721199	0	0	0
18	2	12	.064798445	.50241596	.2524218	.27474454	0	.077709489	0	0	0	0
18	2	13	.37876067	.057951689	.0033583983	.38854745	.029141059	.20722532	.37868333	0	0	0
18	2	14	.16353306	.055202048	.003047266	0	.019427372	0	.78992212	0	0	0
18	2	15	0	0	0	0	0	0	0	0	0	0
18	2	16	.28037667	.0016416094	2.6948812e-06	.38854745	.0097136861	0	.36949003	0	0	1
18	3	1	.32838133	.0038604909	.000014903389	.5106042	0	0	.14200702	0	0	0
18	3	2	.47896305	.03694794	.0013651502	.5106042	.018052585	.57768273	.050207064	0	0	1
18	3	3	0	0	0	0	0	0	0	0	0	0
18	3	4	.67743105	.024600351	.00060517731	.72210342	.054157756	.19256093	.055475697	0	0	0
18	3	5	.42203924	.023324938	.00054405275	0	0	0	0	0	0	0
18	3	6	.66263163	.25034678	.062673509	.72210342	.072210342	.28884137	.65838134	1	0	0
18	3	7	.49566209	.10432069	.010882806	.72210342	.054157756	.19256093	0	0	0	0
18	3	8	.63264447	.00097434496	9.4934813e-07	0	.48741981	0	.3760559	0	0	0
18	3	9	.72210342	.1190053	.014162261	.72210342	.018052585	.38512185	.39414075	0	0	0
18	3	10	.22794086	0	0	0	.018052585	0	.14200702	0	0	0
18	3	11	.56923312	.085802943	.007362145	.72210342	.018052585	.19256093	0	0	0	0
18	3	12	.1204259	.51244169	.26259649	.5106042	0	.14442068	0	0	0	0
18	3	13	.703915	.098715603	.0097447699	.72210342	.054157756	.38512185	.17241527	0	0	0
18	3	14	.30392113	.0041007036	.000016815769	0	.036105171	0	.14200702	0	0	0
18	3	15	0	0	0	0	0	0	0	0	0	0
18	3	16	.52107137	.0040208804	.00001616748	.72210342	.018052585	0	.23031253	0	0	1
18	4	1	.4230718	.25126109	.06313213	.6578396	0	0	.75755405	0	0	0
18	4	2	.61707455	.095307693	.009083556	.6578396	.023258142	.74426055	.17409326	0	0	1
18	4	3	0	0	0	0	0	0	0	0	0	0
18	4	4	.8727718	.00019035133	3.6233629e-08	.93032569	.069774427	.24808685	.16898322	0	0	0
18	4	5	.54373646	.32663319	.10668924	0	0	0	0	0	0	0
18	4	6	.85370487	.15372083	.023630092	.93032569	.093032569	.37213027	.12379092	0	0	0
18	4	7	.63858885	.052464515	.0027525253	.93032569	.069774427	.24808685	.03959126	0	0	0
18	4	8	.81507081	.054987587	.0030236347	0	.62796986	0	.89955127	0	0	0
18	4	9	.93032569	.0097196465	.000094471528	.93032569	.023258142	.49617371	.27904528	0	0	0
18	4	10	.29366878	0	0	0	.023258142	0	.75755405	0	0	0
18	4	11	.73337448	.0043450044	.000018879064	.93032569	.023258142	.24808685	.015162298	0	0	0
18	4	12	.15515134	.5	.25	.6578396	0	.18606514	0	0	0	0
18	4	13	.90689254	.2388142	.057032224	.93032569	.069774427	.49617371	.58125389	1	0	0
18	4	14	.39155838	.007267992	.000052823707	0	.046516284	0	.75755405	0	0	0
18	4	15	0	0	0	0	0	0	0	0	0	0
18	4	16	.67132497	.15846723	.025111863	.93032569	.023258142	0	.30921444	0	0	1
18	5	1	0	.0099289408	.000098583863	0	0	0	.24140394	0	0	0
18	5	2	0	.034706157	.0012045173	0	0	0	.085349187	0	0	1
18	5	3	0	0	0	0	0	0	0	0	0	0
18	5	4	0	.0097165378	.000094411109	0	0	0	.11936659	0	0	0
18	5	5	0	.0078740912	.000062001309	0	0	0	0	0	0	0
18	5	6	0	.098083466	.0096203666	0	0	0	.2568388	0	0	0
18	5	7	0	.17664093	.031202018	0	0	0	0	0	0	0
18	5	8	0	.0023333579	5.4445591e-06	0	0	0	.70623541	0	0	0
18	5	9	0	.03821687	.0014605292	0	0	0	.28585637	0	0	0
18	5	10	0	0	0	0	0	0	.24140394	0	0	0
18	5	11	0	.047288526	.0022362047	0	0	0	0	0	0	0
18	5	12	0	.57921827	.3354938	0	0	0	0	0	0	0
18	5	13	0	.023624232	.00055810437	0	0	0	.20946509	0	0	0
18	5	14	0	.1318344	.01738031	0	0	0	.24140394	0	0	0
18	5	15	0	1	1	0	0	0	0	1	0	0
18	5	16	0	.010341453	.00010694566	0	0	0	.22271661	0	0	1
18	6	1	.39802197	.0012443191	1.5483301e-06	.61888927	0	0	.93914765	0	1	0
18	6	2	.58053792	.4673256	.21839322	.61888927	.021881042	.70019335	1	1	1	1
18	6	3	0	0	0	0	0	0	0	0	1	0
18	6	4	.82109553	.16360015	.026765008	.87524164	.065643124	.23339778	.2069561	0	1	0
18	6	5	.51154214	.033658821	.0011329162	0	.17504834	0	0	0	1	0
18	6	6	.80315751	.035992678	.0012954728	.87524164	.087524168	.35009667	.18562125	0	1	0
18	6	7	.60077834	.019571714	.00038305199	.87524164	.065643124	.23339778	0	0	1	0
18	6	8	.76681095	.000014399635	2.0734948e-10	0	.87524164	0	.88053823	0	1	0
18	6	9	.87524164	.039709747	.001576864	.87524164	.021881042	.46679556	.3442384	0	1	0
18	6	10	.27628082	0	0	0	.043762084	0	.93914765	0	1	0
18	6	11	.68995178	.019571714	.00038305199	.87524164	.021881042	.23339778	0	0	1	0
18	6	12	.14596492	.5	.25	.61888927	0	.17504834	0	0	1	0
18	6	13	.85319597	.15725718	.024729822	.87524164	.065643124	.46679556	.39403534	0	1	0
18	6	14	.36837444	0	0	0	.1094052	0	.93914765	0	1	0
18	6	15	0	0	0	0	0	0	0	0	1	0
18	6	16	.63157624	0	0	.87524164	.021881042	0	.39682546	0	1	1
18	7	1	.45475665	.20939939	.043848105	.70710677	0	0	.9990015	0	1	0
18	7	2	.66328871	.00048152811	2.3186932e-07	.70710677	.025	.80000001	.22958024	0	1	1
18	7	3	0	0	0	0	0	0	0	0	1	0
18	7	4	.9381358	.000039539274	1.5633542e-09	1	.075000003	.26666668	.21220262	0	1	0
18	7	5	.58445817	.14856829	.022072537	0	.2	0	0	0	1	0
18	7	6	.91764086	0	0	1	.1	.40000001	.067829102	0	1	0
18	7	7	.6864143	0	0	1	.075000003	.26666668	0	0	1	0
18	7	8	.87611341	.067004472	.0044895993	0	1	0	.78183138	0	1	0
18	7	9	1	0	0	1	.025	.53333336	.26037499	0	1	0
18	7	10	.31566235	0	0	0	.050000001	0	.9990015	0	1	0
18	7	11	.78829867	0	0	1	.025	.26666668	0	0	1	0
18	7	12	.16677099	.5	.25	.70710677	0	.2	0	0	1	0
18	7	13	.97481191	.034098253	.0011626908	1	.075000003	.53333336	.38950828	0	1	0
18	7	14	.42088312	0	0	0	.125	0	.9990015	0	1	0
18	7	15	0	0	0	0	0	0	0	0	1	0
18	7	16	.72160208	.98623931	.97266799	1	.025	0	1	1	1	1
18	8	1	.31507251	.50832641	.25839573	.48991016	0	0	.83653092	1	0	0
18	8	2	.45955136	.014847731	.00022045513	.48991016	.01732094	.55427009	.22428341	0	0	1
18	8	3	0	0	0	0	0	0	0	0	0	0
18	8	4	.64997572	.00056709803	3.2160017e-07	.6928376	.051962823	.1847567	.18325604	0	0	0
18	8	5	.40493459	.15689552	.024616204	0	0	0	0	0	0	0
18	8	6	.6357761	0	0	.6928376	.069283761	.27713504	.046215042	0	0	0
18	8	7	.47557363	0	0	.6928376	.051962823	.1847567	.082080826	0	0	0
18	8	8	.60700428	.10905452	.011892889	0	.46766537	0	.87981933	0	0	0
18	8	9	.6928376	.00062303385	3.8817117e-07	.6928376	.01732094	.36951339	.25545752	0	0	0
18	8	10	.21870275	0	0	0	.01732094	0	.83653092	0	0	0
18	8	11	.54616296	.0099081574	.000098171586	.6928376	.01732094	.1847567	.030230433	0	0	0
18	8	12	.11554522	.5	.25	.48991016	0	.13856752	0	0	0	0
18	8	13	.67538631	.057229307	.0032751935	.6928376	.051962823	.36951339	.39034507	0	0	0
18	8	14	.29160365	0	0	0	.034641881	0	.83653092	0	0	0
18	8	15	0	0	0	0	0	0	0	0	0	0
18	8	16	.49995306	.2043391	.041754469	.6928376	.01732094	0	.3094103	0	0	1
18	9	1	.30895075	0	0	.48039138	0	0	.20441554	0	0	0
18	9	2	.45062244	.011405181	.00013007816	.48039138	.016984401	.54350084	.19272482	0	0	1
18	9	3	0	0	0	0	0	0	0	0	0	0
18	9	4	.63734692	.019170912	.00036752387	.67937601	.050953202	.18116695	.073419124	0	0	0
18	9	5	.39706686	0	0	0	0	0	0	0	0	0
18	9	6	.62342322	.044505525	.0019807417	.67937601	.067937605	.27175042	.33095524	0	0	0
18	9	7	.46633339	.66081774	.43668008	.67937601	.050953202	.18116695	.24253821	0	0	0
18	9	8	.59521043	.00019350593	3.7444543e-08	0	.45857882	0	.75306803	0	0	0
18	9	9	.67937601	.12150069	.014762416	.67937601	.016984401	.36233389	.71115947	1	0	0
18	9	10	.21445343	.59203953	.35051081	0	.016984401	0	.20441554	0	0	0
18	9	11	.53555119	.63597417	.40446314	.67937601	.016984401	.18116695	.10752876	0	0	0
18	9	12	.11330021	.5	.25	.48039138	0	.13587521	0	0	0	0
18	9	13	.66226381	.060025878	.0036031061	.67937601	.050953202	.36233389	.24990481	0	0	0
18	9	14	.28593791	.16355227	.026749345	0	.033968803	0	.20441554	0	0	0
18	9	15	0	0	0	0	0	0	0	0	0	0
18	9	16	.49023917	0	0	.67937601	.016984401	0	.22874254	0	0	1
18	10	1	.34245053	.24886388	.061933227	.53248054	0	0	.77671307	0	0	0
18	10	2	.49948376	.19362076	.037488997	.53248054	.018826032	.60243303	.20399565	0	0	1
18	10	3	0	0	0	0	0	0	0	0	0	0
18	10	4	.70645493	0	0	.75304127	.056478094	.20081101	.18913658	0	0	0
18	10	5	.44012111	.51501638	.26524186	0	0	0	0	0	0	0
18	10	6	.69102144	0	0	.75304127	.075304128	.30121651	.21433133	0	0	0
18	10	7	.51689827	.00051682373	2.6710677e-07	.75304127	.056478094	.20081101	.048410542	0	0	0
18	10	8	.65974951	.19009672	.036136765	0	.50830287	0	.95340437	1	0	0
