marketid	upstreamid	downstreamid	cites_cites	cites_size	kn_similarity	kn_similarity_sq	domain_similarity	cites_rankcmd	cites_experience	match	removeup	removedown
17	2	3	.13597286	.30406711	.000087627915	7.6786515e-09	.28514662	0	0	0	1	0
17	2	4	.37337148	.30406711	.006162324	.000037974238	.16638198	.44688559	.0035636805	0	1	0
17	2	5	.41374457	.30406711	.076464497	.0058468194	.49151835	.14896187	.0035636805	0	1	0
17	2	6	4.3557905e-17	0	.005715121	.000032662607	0	0	.017818404	0	1	0
17	2	7	.72005326	.74480927	.089281715	.0079712244	.27155399	.31778529	.014254722	0	1	0
17	2	8	.22584602	0	.094353467	.0089025768	.7683233	0	.049891528	0	1	0
17	2	9	.32536432	0	.10008204	.010016414	.68826979	0	.10334674	0	1	0
17	2	10	.74480927	.43001583	.19265637	.037116475	.7461651	.19861579	.13541988	0	1	1
17	2	11	.33812767	.43001583	.030387372	.00092339236	.14404723	.09930791	.0071273609	0	1	0
17	2	12	.57674819	0	.21482553	.046150006	.49364161	0	.74480927	0	1	1
17	2	13	.57278913	.43001583	.26249325	.068902709	.73730052	.19861579	.16036563	0	1	0
17	2	14	.53670609	.43001583	.21302836	.04538108	.65555441	0	.046327848	0	1	1
17	2	15	.37481391	0	.13345347	.017809829	.40333515	0	.16392931	0	1	0
17	2	16	.44709027	0	.0031652565	.000010018848	.69179177	0	.16749299	0	1	0
17	2	17	.40369084	0	.032188494	.0010360992	.46630761	0	.19600244	0	1	0
17	2	18	.13390784	0	.089031845	.0079266699	.75073642	0	.021382084	0	1	0
17	2	19	.028216915	.43001583	.40981951	.16795203	0	.19861582	0	0	1	0
17	2	20	.28395131	0	.36710009	.13476248	.75739175	0	.042764168	0	1	0
17	2	21	.39980128	0	.0080555305	.000064891574	.48457396	0	.3813138	0	1	0
17	2	22	.51628745	.43001583	.076960392	.0059229019	.67619169	.099307895	.0035636805	0	1	0
17	2	23	.26561555	0	.094353467	.0089025768	.7683233	0	.053455207	0	1	0
17	3	1	.3005195	0	.12204872	.01489589	.78540438	0	.35997128	0	0	1
17	3	2	.35913685	.37529472	.0044869855	.000020133039	.20964366	.19733509	.14752921	0	0	1
17	3	3	.075053371	.1678369	0	0	.80518132	0	0	0	0	0
17	3	4	.20609106	.1678369	.0010032529	1.0065164e-06	.19126645	.24666886	.0019670562	0	0	0
17	3	5	.22837591	.1678369	.0078704255	.000061943596	.31200382	.082222961	.0019670562	0	0	0
17	3	6	2.4042797e-17	0	.013690224	.00018742224	0	0	.0098352814	0	0	0
17	3	7	.39745012	.41111475	.012313539	.00015162324	.14216104	.17540897	.0078682248	0	0	0
17	3	8	.12466096	0	0	0	.8408404	0	.027538788	0	0	0
17	3	9	.1795924	0	0	0	.18876	0	.057044629	0	0	0
17	3	10	.41111475	.23735721	.026662953	.0007109131	.30295494	.1096306	.074748144	0	0	1
17	3	11	.18663742	.23735721	.00059630017	3.5557389e-07	.14696617	.054815304	.0039341124	0	0	0
17	3	12	.31834957	0	.00087271037	7.6162337e-07	.79164958	0	.41111475	0	0	1
17	3	13	.31616426	.23735721	.0038697212	.000014974742	.29968098	.1096306	.088517532	0	0	0
17	3	14	.29624739	.23735721	.0091640893	.000083980536	.37775487	0	.025571732	0	0	1
17	3	15	.20688725	0	.028600832	.00081800763	.78822076	0	.090484589	0	0	0
17	3	16	.24678186	0	.79752171	.63604087	.97523522	0	.092451647	1	0	0
17	3	17	.22282654	0	.013969808	.00019515553	.78432971	0	.1081881	0	0	0
17	3	18	.073913544	0	0	0	.37946501	0	.011802338	0	0	0
17	3	19	.015574981	.23735721	.3372122	.11371207	0	.10963061	0	0	0	0
17	3	20	.15673353	0	.0092640482	.00008582259	.72477043	0	.023604676	0	0	0
17	3	21	.2206796	0	.13964966	.019502027	.79030323	0	.21047501	0	0	0
17	3	22	.28497687	.23735721	.003988042	.000015904479	.72537673	.0548153	.0019670562	0	0	0
17	3	23	.14661266	0	0	0	.8408404	0	.029505843	0	0	0
17	4	1	.47788376	0	.21086729	.044465013	.72084963	0	.57242352	0	0	1
17	4	2	.5710966	.59679073	.017810872	.00031722715	.33943775	.31380072	.23459981	0	0	1
17	4	3	.11934929	.26689294	.00026033845	6.7776107e-08	.40765369	0	0	0	0	0
17	4	4	.3277244	.26689294	.0071656695	.000051346819	.20608202	.3922509	.0031279975	0	0	0
17	4	5	.36316159	.26689294	.098703094	.009742301	.43767229	.13075031	.0031279975	0	0	0
17	4	6	3.8232668e-17	0	.087724932	.0076956637	0	0	.015639989	0	0	0
17	4	7	.63202208	.65375149	.18199202	.033121098	.36979532	.27893397	.01251199	1	0	0
17	4	8	.19823489	0	.064032122	.0041001127	.7869547	0	.043791965	0	0	0
17	4	9	.28558642	0	.10512152	.011050534	.40550977	0	.090711929	0	0	0
17	4	10	.65375149	.37744358	.27249259	.074252211	.50971073	.17433372	.11886391	0	0	1
17	4	11	.29678935	.37744358	.044561729	.0019857476	.16286208	.087166868	.006255995	0	0	0
