"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"storedmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"
2	7	4	0	0	0	""	""	""	""	0	0
2	7	5	2.80555176626339	0	0	""	""	""	""	0	0
2	7	6	2.5566824199223674	0	0	""	5.627180219125428	0	""	0	1
2	7	7	3.328810714591638	0	0	""	""	""	""	0	0
2	7	8	3.9723053211273394	0	0	""	""	""	""	0	0
2	7	9	2.0092094285797586	0	0	""	""	""	""	0	0
2	7	10	1.1777742634117603	0	0	""	""	""	""	0	0
2	7	11	2.0322736787095237	0	0	""	""	""	""	0	0
2	7	12	5.191036700174292	1	1	""	""	""	""	0	0
2	7	13	2.9821547791002243	0	0	""	5.473919173521246	0	""	0	1
2	8	1	4.022958512355711	0	0	""	""	""	""	0	0
2	8	2	1.3051382158759597	0	0	""	""	""	""	0	0
2	8	3	4.135576201881027	0	0	""	""	""	""	0	0
2	8	4	2.580254165074777	1	1	""	""	""	""	0	0
2	8	5	2.096933826937193	0	0	""	""	""	""	0	0
2	8	6	4.979116366669344	0	0	""	5.627180219125428	0	""	0	1
2	8	7	4.9300200305791755	0	0	""	""	""	""	0	0
2	8	8	3.65923268449513	0	0	""	""	""	""	0	0
2	8	9	3.024074848846515	0	0	""	""	""	""	0	0
2	8	10	2.6126499521004547	0	0	""	""	""	""	0	0
2	8	11	2.625319537527618	0	0	""	""	""	""	0	0
2	8	12	4.377800461530228	0	0	""	""	""	""	0	0
2	8	13	4.514375480184499	0	0	""	5.473919173521246	0	""	0	1
2	9	1	5.284779899740077	0	0	""	""	""	""	0	0
2	9	2	0.17138794658715562	0	0	""	""	""	""	0	0
2	9	3	5.180821431969434	1	1	""	""	""	""	0	0
2	9	4	0	0	0	""	""	""	""	0	0
2	9	5	0.8118153833719052	0	0	""	""	""	""	0	0
2	9	6	3.322505724381511	0	0	""	5.627180219125428	0	""	0	1
2	9	7	2.8933893377232285	0	0	""	""	""	""	0	0
2	9	8	2.6732753634355038	0	0	""	""	""	""	0	0
2	9	9	2.0555702492065295	0	0	""	""	""	""	0	0
2	9	10	2.242058887644389	0	0	""	""	""	""	0	0
2	9	11	0.9680236229695219	0	0	""	""	""	""	0	0
2	9	12	1.6888023912767673	0	0	""	""	""	""	0	0
2	9	13	3.481195028483973	0	0	""	5.473919173521246	0	""	0	1
2	10	1	3.6187844211657536	0	0	""	""	""	""	0	0
2	10	2	1.2457101675703606	0	0	""	""	""	""	0	0
2	10	3	3.7958629440940888	0	0	""	""	""	""	0	0
2	10	4	0	0	0	""	""	""	""	0	0
2	10	5	2.2502741014145227	0	0	""	""	""	""	0	0
2	10	6	3.700760247247457	0	0	""	5.627180219125428	0	""	0	1
2	10	7	3.6552519630138343	0	0	""	""	""	""	0	0
2	10	8	4.293196846901879	0	0	""	""	""	""	0	0
2	10	9	2.3014678637243593	0	0	""	""	""	""	0	0
2	10	10	2.324631160769012	0	0	""	""	""	""	0	0
2	10	11	2.3582997197854203	1	1	""	""	""	""	0	0
2	10	12	4.196020559834335	0	0	""	""	""	""	0	0
2	10	13	3.9464577086572934	0	0	""	5.473919173521246	0	""	0	1
2	11	1	2.4483724657385433	0	0	""	""	""	""	0	0
2	11	2	2.56468665775773	0	0	""	""	""	""	0	0
2	11	3	2.7358902371413705	0	0	""	""	""	""	0	0
2	11	4	0	0	0	""	""	""	""	0	0
2	11	5	3.5556897174844506	0	0	""	""	""	""	0	0
2	11	6	1.7552770397266888	0	0	""	5.627180219125428	0	""	0	1
2	11	7	3.474598396603624	0	0	""	""	""	""	0	0
2	11	8	3.090903072574825	0	0	""	""	""	""	0	0
2	11	9	1.3869492555297684	0	0	""	""	""	""	0	0
2	11	10	4.099226245777296	1	1	""	""	""	""	0	0
2	11	11	1.4011687873501246	0	0	""	""	""	""	0	0
2	11	12	1.3949163151762467	0	0	""	""	""	""	0	0
2	11	13	2.447405869653962	0	0	""	5.473919173521246	0	""	0	1
2	12	1	3.6923834118469623	0	0	""	""	""	""	0	0
2	12	2	0.6295850479171035	0	0	""	""	""	""	0	0
2	12	3	3.6791581853878763	0	0	""	""	""	""	0	0
2	12	4	0	0	0	""	""	""	""	0	0
2	12	5	0.5771488441291062	0	0	""	""	""	""	0	0
2	12	6	5.126427041699303	0	0	""	5.627180219125428	0	""	0	1
2	12	7	2.090812767017133	0	0	""	""	""	""	0	0
2	12	8	1.7654280087166296	0	0	""	""	""	""	0	0
2	12	9	4.30706938482669	1	1	""	""	""	""	0	0
2	12	10	2.245292885914013	0	0	""	""	""	""	0	0
2	12	11	1.492401473193725	0	0	""	""	""	""	0	0
2	12	12	1.8571878461177054	0	0	""	""	""	""	0	0
2	12	13	4.18510296611012	0	0	""	5.473919173521246	0	""	0	1
3	1	1	1.8699814756956326	0	0	""	""	""	""	0	0
3	1	2	2.0394281936208243	0	0	""	""	""	""	0	0
3	1	3	0.2967217706946502	1	1	""	""	""	""	0	0
3	1	4	1.4390658087845383	0	0	""	""	""	""	0	0
3	1	5	2.6257890166510998	0	0	""	5.784410047143229	0	""	0	1
3	1	6	1.8211368791084777	0	0	""	""	""	""	0	0
3	1	7	0	0	0	""	""	""	""	0	0
3	2	1	1.959241721960117	0	0	""	""	""	""	0	0
3	2	2	1.7963044551964988	0	0	""	""	""	""	0	0
3	2	3	0.41198283865526025	0	0	""	""	""	""	0	0
3	2	4	1.1938862837868938	0	0	""	""	""	""	0	0
3	2	5	1.7095417203920036	0	0	""	5.784410047143229	0	""	0	1
3	2	6	1.77047239168326	1	1	""	""	""	""	0	0
3	2	7	0	0	0	""	""	""	""	0	0
3	3	1	3.542569552964859	0	0	""	""	""	""	0	0
3	3	2	4.489210802768975	1	1	""	""	""	""	0	0
3	3	3	0.4103712836417696	0	0	""	""	""	""	0	0
3	3	4	1.7430494903998472	0	0	""	""	""	""	0	0
3	3	5	2.0909741552217973	0	0	""	5.784410047143229	0	""	0	1
3	3	6	3.1581099349398993	0	0	""	""	""	""	0	0
3	3	7	0.22881620034483519	0	0	""	""	""	""	0	0
3	4	1	1.6392821178849426	0	0	""	""	""	""	0	0
3	4	2	1.2636342936857061	0	0	""	""	""	""	0	0
3	4	3	0.5138036569646746	0	0	""	""	""	""	0	0
3	4	4	5.5420304229943715	1	1	""	""	""	""	0	0
3	4	5	1.1536027039054246	0	0	""	5.784410047143229	0	""	0	1
3	4	6	1.322968818123433	0	0	""	""	""	""	0	0
3	4	7	0	0	0	""	""	""	""	0	0
3	5	1	1.8821963159764978	0	0	3.466896056242497	""	""	0	1	0
3	5	2	2.4910279814086165	0	0	3.466896056242497	""	""	0	1	0
3	5	3	0.44572139721876514	0	0	3.466896056242497	""	""	0	1	0
3	5	4	1.670630540824404	0	0	3.466896056242497	""	""	0	1	0
3	5	5	6.511548522319023	1	1	3.466896056242497	5.784410047143229	0.7271384751757939	3.044652466076526	1	1
3	5	6	1.4582700167210318	0	0	3.466896056242497	""	""	0	1	0
3	5	7	0.11717728721876514	0	0	3.466896056242497	""	""	0	1	0
3	6	1	0.19776020892136972	0	0	""	""	""	""	0	0
3	6	2	0.15273500207927035	0	0	""	""	""	""	0	0
3	6	3	0.04747898869303277	0	0	""	""	""	""	0	0
3	6	4	0.12156742985246838	0	0	""	""	""	""	0	0
3	6	5	2.7632353881194978	0	0	""	5.784410047143229	0	""	0	1
3	6	6	0.15397011792136972	0	0	""	""	""	""	0	0
3	6	7	1.6577521354969944	1	1	""	""	""	""	0	0
3	7	1	1.9202089941478788	1	1	""	""	""	""	0	0
3	7	2	0	0	0	""	""	""	""	0	0
3	7	3	0	0	0	""	""	""	""	0	0
3	7	4	0.11254435907192004	0	0	""	""	""	""	0	0
3	7	5	2.7471802092306032	0	0	""	5.784410047143229	0	""	0	1
3	7	6	0	0	0	""	""	""	""	0	0
3	7	7	2.1461937689112163	0	0	""	""	""	""	0	0
4	1	1	5.544087792025145	1	1	11.163121011702529	5.544087792025138	7.105427357601002*^-15	0	1	1
4	1	2	2.4707581149538873	0	0	11.163121011702529	""	""	0	1	0
4	1	3	5.544886861032335	0	0	11.163121011702529	5.894145966992276	0	0	1	1
4	1	4	3.2835564947819904	0	0	11.163121011702529	""	""	0	1	0
4	1	5	3.8619684564588743	0	0	11.163121011702529	5.692562737275203	0	0	1	1
4	1	6	6.677924003764457	1	1	11.163121011702529	6.677924003764453	4.440892098500626*^-15	0	1	1
4	1	7	0	0	0	11.163121011702529	""	""	0	1	0
4	1	8	0.6913929190761994	0	0	11.163121011702529	""	""	0	1	0
4	1	9	5.613678407120084	0	0	11.163121011702529	6.237756056293172	0	0	1	1
4	1	10	4.455278387648029	0	0	11.163121011702529	""	""	0	1	0
4	1	11	2.806944171468306	0	0	11.163121011702529	""	""	0	1	0
4	1	12	3.66691794883383	0	0	11.163121011702529	5.74099168758741	0	0	1	1
4	2	1	5.223289214912374	0	0	6.094834873666898	5.544087792025138	0	0	1	1
4	2	2	2.4163296306297446	0	0	6.094834873666898	""	""	0	1	0
4	2	3	5.878942992624725	0	0	6.094834873666898	5.894145966992276	0	0	1	1
4	2	4	2.9490937672086392	0	0	6.094834873666898	""	""	0	1	0
4	2	5	3.912884500155972	0	0	6.094834873666898	5.692562737275203	0	0	1	1
4	2	6	7.153725657753975	0	0	6.094834873666898	6.677924003764453	0.4758016539895227	1.0588907840870778	1	1
4	2	7	0	0	0	6.094834873666898	""	""	0	1	0
4	2	8	0.9580660685111566	0	0	6.094834873666898	""	""	0	1	0
4	2	9	6.274569331976448	0	0	6.094834873666898	6.237756056293172	0.03681327568327575	0.17973445830955015	1	1
4	2	10	5.106458210138369	0	0	6.094834873666898	""	""	0	1	0
4	2	11	3.550649564524457	0	0	6.094834873666898	""	""	0	1	0
4	2	12	6.2167933415769365	1	1	6.094834873666898	5.74099168758741	0.47580165398952623	0.12195846791003895	1	1
4	3	1	0.053481130089373434	0	0	""	5.544087792025138	0	""	0	1
4	3	2	3.910250823413731	1	1	""	""	""	""	0	0
4	3	3	0.03325650637288338	0	0	""	5.894145966992276	0	""	0	1
4	3	4	0.04106821157711776	0	0	""	""	""	""	0	0
4	3	5	0.003469830159363983	0	0	""	5.692562737275203	0	""	0	1
